Prediction	Timestamp	From loc	To loc	Elapsed_time	Segment_Foraging
58	2015-04-21 23:43:06.800000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/Current/js_v9/main.js;.checkGameOver()	26:43.5	Integrate
59	2015-04-21 23:43:50.075050+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	/hexcom/Current/js_v9/math.js at 0	27:26.8	Integrate
60	2015-04-21 23:43:54.254000+00:00	L/hexcom/Current/js_v9/math.js;.rotatePoint(x"," y"," theta)	L/hexcom/Current/js_v9/main.js;.checkGameOver()	27:30.9	Integrate
61	2015-04-21 23:44:02.628000+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	27:39.3	Integrate
62	2015-04-21 23:44:53.919000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	28:30.6	Integrate
63	2015-04-21 23:45:09.189000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	28:45.9	Integrate
64	2015-04-21 23:45:49.326050+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	/hexcom/Current/js_v9/update.js at 0	29:26.0	Integrate
65	2015-04-21 23:46:24.704000+00:00	L/hexcom/Current/js_v9/update.js;.pfigheader()V	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	30:01.4	DP
66	2015-04-21 23:46:26.478050+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	/hexcom/Current/js_v9/Text.js at 0	30:03.2	DP
67	2015-04-21 23:46:36.238000+00:00	L/hexcom/Current/js_v9/Text.js;.Text(x","y","text","font","color","incrementFunction)	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	30:12.9	DP
68	2015-04-21 23:46:43.788050+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	/hexcom/Current/js_v9/Block.js at 0	30:20.5	DP
69	2015-04-21 23:46:50.390000+00:00	L/hexcom/Current/js_v9/Block.js;.Block(fallingLane"," color"," iter"," distFromHex"," settled)	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	30:27.1	DP
70	2015-04-21 23:47:20.153000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	30:56.8	DP
71	2015-04-21 23:47:29.090000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	31:05.8	DP
72	2015-04-21 23:47:43.196000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	31:19.9	DP
73	2015-04-21 23:51:33.579000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	35:10.3	DP
74	2015-04-21 23:52:29.200000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	36:05.9	SP
75	2015-04-21 23:52:46.257000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	36:22.9	SP
76	2015-04-21 23:53:01.757000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	36:38.4	Integrate
77	2015-04-21 23:53:07.995000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	36:44.7	Integrate
78	2015-04-21 23:53:25.965000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	37:02.6	Integrate
79	2015-04-21 23:53:28.882000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/Current/js_v9/main.js;.checkGameOver()	37:05.6	Integrate
80	2015-04-21 23:53:30.002000+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	37:06.7	Integrate
81	2015-04-21 23:54:37.454000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/Current/js_v9/main.js;.checkGameOver()	38:14.1	Integrate
82	2015-04-21 23:56:10.740050+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	/hexcom/Current/js_v9/save-state.js at 0	39:47.4	Integrate
83	2015-04-21 23:56:19.822000+00:00	L/hexcom/Current/js_v9/save-state.js;.exportSaveState()	L/hexcom/Current/js_v9/main.js;.checkGameOver()	39:56.5	Integrate
84	2015-04-21 23:56:30.177050+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	/hexcom/Current/js_v9/comboTimer.js at 0	40:06.9	Integrate
85	2015-04-21 23:56:48.727000+00:00	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	L/hexcom/Current/js_v9/main.js;.checkGameOver()	40:25.4	Integrate
86	2015-04-21 23:56:51.097000+00:00	L/hexcom/Current/js_v9/main.js;.checkGameOver()	L/hexcom/Current/js_v9/main.js;.showHelp()	40:27.8	Integrate
87	2015-04-21 23:57:04.822000+00:00	L/hexcom/Current/js_v9/main.js;.showHelp()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	40:41.5	SP
88	2015-04-21 23:57:08.548000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/Current/js_v9/view.js;.clearGameBoard()	40:45.2	SP
89	2015-04-21 23:57:14.088000+00:00	L/hexcom/Current/js_v9/view.js;.clearGameBoard()	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	40:50.8	SP
90	2015-04-21 23:57:23.999000+00:00	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	L/hexcom/Current/js_v9/view.js;.clearGameBoard()	41:00.7	SP
91	2015-04-21 23:57:33.708000+00:00	L/hexcom/Current/js_v9/view.js;.clearGameBoard()	L/hexcom/Current/js_v9/view.js;.drawPolygon(x"," y"," sides"," radius"," theta"," fillColor"," lineWidth"," lineColor)	41:10.4	SP
92	2015-04-21 23:57:36+00:00	L/hexcom/Current/js_v9/view.js;.drawPolygon(x"," y"," sides"," radius"," theta"," fillColor"," lineWidth"," lineColor)	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	41:12.7	SP
93	2015-04-21 23:59:09.488000+00:00	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	L/hexcom/Current/js_v9/Block.js;.Block(fallingLane"," color"," iter"," distFromHex"," settled)	42:46.2	DP
94	2015-04-21 23:59:21.775000+00:00	L/hexcom/Current/js_v9/Block.js;.Block(fallingLane"," color"," iter"," distFromHex"," settled)	L/hexcom/Current/js_v9/Block.js/Block(fallingLane"," color"," iter"," distFromHex"," settled);.incrementOpacity()	42:58.5	DP
95	2015-04-21 23:59:22.072000+00:00	L/hexcom/Current/js_v9/Block.js/Block(fallingLane"," color"," iter"," distFromHex"," settled);.incrementOpacity()	L/hexcom/Current/js_v9/Block.js/Block(fallingLane"," color"," iter"," distFromHex"," settled);.draw()	42:58.7	DP
96	2015-04-21 23:59:24.685000+00:00	L/hexcom/Current/js_v9/Block.js/Block(fallingLane"," color"," iter"," distFromHex"," settled);.draw()	L/hexcom/Current/js_v9/Block.js;.Block(fallingLane"," color"," iter"," distFromHex"," settled)	43:01.4	DP
97	2015-04-21 23:59:29.060000+00:00	L/hexcom/Current/js_v9/Block.js;.Block(fallingLane"," color"," iter"," distFromHex"," settled)	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	43:05.7	DP
98	2015-04-21 23:59:31.290050+00:00	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	/hexcom/Current/js_v9/initialization.js at 0	43:08.0	DP
99	2015-04-21 23:59:59.019000+00:00	L/hexcom/Current/js_v9/initialization.js;.pfigheader()V	L/hexcom/Current/js_v9/initialization.js;.initialize(a)	43:35.7	DP
100	2015-04-22 00:01:13.021000+00:00	L/hexcom/Current/js_v9/initialization.js;.initialize(a)	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	44:49.7	DP
101	2015-04-22 00:01:14.362000+00:00	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	L/hexcom/Current/js_v9/initialization.js;.initialize(a)	44:51.0	DP
102	2015-04-22 00:01:42.983000+00:00	L/hexcom/Current/js_v9/initialization.js;.initialize(a)	L/hexcom/Current/js_v9/main.js;.showHelp()	45:19.7	DP
103	2015-04-22 00:01:48.587000+00:00	L/hexcom/Current/js_v9/main.js;.showHelp()	L/hexcom/Current/js_v9/view.js;.drawPolygon(x"," y"," sides"," radius"," theta"," fillColor"," lineWidth"," lineColor)	45:25.3	DP
104	2015-04-22 00:02:01.598000+00:00	L/hexcom/Current/js_v9/view.js;.drawPolygon(x"," y"," sides"," radius"," theta"," fillColor"," lineWidth"," lineColor)	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	45:38.3	DP
105	2015-04-22 00:02:03.304000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	45:40.0	DP
106	2015-04-22 00:02:08.986000+00:00	L/hexcom/2014-05-21-15:39:02/js/main.js;.render()	L/hexcom/Current/js_v9/initialization.js;.initialize(a)	45:45.7	DP
107	2015-04-22 00:02:44.208000+00:00	L/hexcom/Current/js_v9/initialization.js;.initialize(a)	L/hexcom/Current/js_v9/view.js;.drawPolygon(x"," y"," sides"," radius"," theta"," fillColor"," lineWidth"," lineColor)	46:20.9	DP
108	2015-04-22 00:02:56.370000+00:00	L/hexcom/Current/js_v9/view.js;.drawPolygon(x"," y"," sides"," radius"," theta"," fillColor"," lineWidth"," lineColor)	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	46:33.0	DP
109	2015-04-22 00:03:33.540000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/Current/js_v9/main.js;.showHelp()	47:10.2	DP
110	2015-04-22 00:03:39.616000+00:00	L/hexcom/Current/js_v9/main.js;.showHelp()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	47:16.3	DP
111	2015-04-22 00:04:15.032000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/Current/js_v9/initialization.js;.initialize(a)	47:51.7	DP
112	2015-04-22 00:04:30.115000+00:00	L/hexcom/Current/js_v9/initialization.js;.initialize(a)	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	48:06.8	DP
113	2015-04-22 00:05:35.260000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	49:11.9	DP
114	2015-04-22 00:05:43.004000+00:00	L/hexcom/2014-05-21-15:39:02/js/view.js;.renderText(lines"," x"," y"," fontSize)	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	49:19.7	DP
115	2015-04-22 00:06:56.618000+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	L/hexcom/Current/js_v9/main.js;.showHelp()	50:33.3	DP
116	2015-04-22 00:06:57.063000+00:00	L/hexcom/Current/js_v9/main.js;.showHelp()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	50:33.7	DP
